state,pop_density,temp
Alabama,98.39,78.6
Alaska,1.11,52.3
Arizona,66.52,78.1
Arkansas,58.07,78.8
California,240.88,73.4
Colorado,57.23,65.2
Connecticut,663.01,69.2
Delaware,422.63,74.2
Florida,355.43,81
Georgia,188.15,78.7
Hawaii,132.29,72.2
Idaho,23.95,63.7
Illinois,219.47,73.4
Indiana,190.12,72.4
Iowa,57.60,71.6
Kansas,36.10,76.4
Kentucky,113.55,74.5
Louisiana,87.78,81.1
Maine,39.71,63.7
Maryland,504.85,73.3
Massachusetts,676.16,68
Michigan,104.85,66.2
Minnesota,66.64,66.8
Mississippi,60.77,79.5
Missouri,89.60,75.4
Montana,7.73,64.2
Nebraska,25.93,71.8
Nevada,29.55,69
New Hampshire,150.71,65.5
New Jersey,1089.17,72.2
New Mexico,17.52,71.4
New York,364.17,66.5
North Carolina,205.24,75.7
North Dakota,11.27,66.6
Ohio,265.10,70.9
Oklahoma,58.59,79.6
Oregon,43.43,63.7
Pennsylvania,283.99,68.6
Rhode Island,719.94,68.8
South Carolina,171.11,78.4
South Dakota,11.99,69.9
Tennessee,171.50,75.6
Texas,116.50,81.1
Utah,41.27,69.6
Vermont,67.44,65.1
Virginia,205.99,73.2
Washington,111.62,63.8
West Virginia,73.05,70.2
Wisconsin,91.01,66.8
Wyoming,6.01,63.5
