,Alabama,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Alabama,0.03203201298506599,0.022558116651306526,0.04446060301532932,0.012137326824195504,0.015389537890809291,0.024950986948614296,0.025180097580273408,0.02688100940061257,0.03800388759638366,0.008297254660527144,0.02065775386784942,0.013993673077929848,0.016514931903205677,0.019414946723400727,0.026641969183796257,0.03391835253362508,0.002354043069971021,0.02077914153917703,0.031045329358934348,0.010590527592026382,0.009404569111181206,0.033364469989213885,0.035368565675531226,0.005996512877619953,0.016471709484743958,0.011976066465623679,0.007141099106579884,0.060784151973448566,0.018185955729017527,0.026257134242899507,0.022827418453992786,0.0056784150767203905,0.015278084183713118,0.03943595629995816,0.006676629997659214,0.02400731639863103,0.028677869174566144,0.017682397000237614,0.012387562968147824,0.040673899374121227,0.038759378659504434,0.013454039216407506,0.007194541040937465,0.020586954893715547,0.003477312554761564,0.015085177762162484,0.008603770176895448,0.008761539708590803
Arizona,0.032032012985065986,0.022558116651306522,0.04446060301532931,0.0121373268241955,0.01538953789080929,0.024950986948614296,0.025180097580273408,0.02688100940061256,0.03800388759638366,0.008297254660527144,0.020657753867849418,0.013993673077929843,0.01651493190320567,0.019414946723400727,0.02664196918379625,0.03391835253362508,0.00235404306997102,0.020779141539177023,0.03104532935893434,0.010590527592026382,0.009404569111181206,0.033364469989213885,0.03536856567553122,0.005996512877619951,0.01647170948474395,0.011976066465623679,0.007141099106579883,0.060784151973448566,0.018185955729017527,0.0262571342428995,0.022827418453992786,0.00567841507672039,0.015278084183713117,0.03943595629995816,0.006676629997659213,0.024007316398631025,0.028677869174566144,0.017682397000237608,0.012387562968147822,0.04067389937412122,0.03875937865950442,0.013454039216407506,0.007194541040937465,0.020586954893715547,0.0034773125547615633,0.015085177762162484,0.008603770176895446,0.008761539708590801
Arkansas,0.032032012985065986,0.022558116651306522,0.04446060301532931,0.0121373268241955,0.015389537890809287,0.02495098694861429,0.025180097580273397,0.02688100940061256,0.03800388759638365,0.008297254660527142,0.020657753867849418,0.013993673077929843,0.016514931903205674,0.019414946723400724,0.026641969183796244,0.033918352533625074,0.00235404306997102,0.02077914153917702,0.031045329358934334,0.01059052759202638,0.009404569111181205,0.03336446998921387,0.035368565675531205,0.005996512877619951,0.01647170948474395,0.011976066465623676,0.007141099106579883,0.06078415197344856,0.01818595572901752,0.026257134242899494,0.022827418453992786,0.00567841507672039,0.015278084183713115,0.03943595629995815,0.006676629997659212,0.024007316398631018,0.028677869174566134,0.01768239700023761,0.012387562968147818,0.04067389937412121,0.03875937865950441,0.013454039216407504,0.007194541040937464,0.020586954893715537,0.0034773125547615624,0.01508517776216248,0.008603770176895445,0.008761539708590801
California,0.032032012985065986,0.02255811665130652,0.0444606030153293,0.0121373268241955,0.015389537890809284,0.02495098694861429,0.0251800975802734,0.026881009400612554,0.038003887596383644,0.008297254660527142,0.020657753867849415,0.013993673077929841,0.01651493190320567,0.019414946723400724,0.026641969183796247,0.033918352533625074,0.002354043069971019,0.02077914153917702,0.031045329358934334,0.010590527592026378,0.009404569111181205,0.03336446998921387,0.035368565675531205,0.005996512877619951,0.016471709484743947,0.011976066465623676,0.007141099106579882,0.06078415197344855,0.018185955729017517,0.026257134242899487,0.022827418453992783,0.005678415076720389,0.015278084183713113,0.03943595629995815,0.006676629997659212,0.024007316398631018,0.028677869174566134,0.017682397000237608,0.01238756296814782,0.04067389937412122,0.03875937865950441,0.013454039216407506,0.007194541040937465,0.020586954893715544,0.003477312554761562,0.015085177762162482,0.008603770176895445,0.0087615397085908
Colorado,0.032032012985065986,0.022558116651306522,0.04446060301532931,0.012137326824195502,0.015389537890809286,0.024950986948614296,0.025180097580273408,0.026881009400612558,0.03800388759638365,0.008297254660527144,0.020657753867849418,0.013993673077929845,0.016514931903205674,0.019414946723400727,0.02664196918379625,0.03391835253362508,0.00235404306997102,0.02077914153917702,0.031045329358934337,0.01059052759202638,0.009404569111181205,0.03336446998921388,0.03536856567553122,0.005996512877619951,0.016471709484743954,0.011976066465623679,0.0071410991065798835,0.06078415197344856,0.018185955729017524,0.026257134242899494,0.022827418453992786,0.00567841507672039,0.015278084183713117,0.03943595629995816,0.006676629997659212,0.024007316398631025,0.02867786917456614,0.01768239700023761,0.01238756296814782,0.04067389937412122,0.03875937865950442,0.013454039216407506,0.007194541040937465,0.020586954893715544,0.003477312554761563,0.015085177762162482,0.008603770176895445,0.008761539708590801
Connecticut,0.03203201298506598,0.022558116651306512,0.044460603015329295,0.012137326824195499,0.015389537890809282,0.024950986948614286,0.025180097580273397,0.026881009400612558,0.038003887596383644,0.008297254660527142,0.020657753867849415,0.013993673077929841,0.016514931903205667,0.019414946723400724,0.026641969183796244,0.03391835253362507,0.0023540430699710187,0.020779141539177013,0.03104532935893433,0.010590527592026376,0.009404569111181205,0.03336446998921387,0.03536856567553121,0.00599651287761995,0.016471709484743947,0.011976066465623676,0.007141099106579881,0.060784151973448546,0.018185955729017517,0.026257134242899487,0.02282741845399278,0.005678415076720388,0.01527808418371311,0.03943595629995815,0.006676629997659211,0.02400731639863101,0.028677869174566124,0.017682397000237604,0.012387562968147818,0.04067389937412121,0.03875937865950441,0.013454039216407502,0.007194541040937463,0.020586954893715533,0.0034773125547615615,0.01508517776216248,0.008603770176895443,0.0087615397085908
Delaware,0.032032012985065965,0.0225581166513065,0.04446060301532928,0.012137326824195492,0.015389537890809274,0.02495098694861427,0.025180097580273376,0.026881009400612544,0.038003887596383616,0.008297254660527137,0.020657753867849394,0.013993673077929836,0.016514931903205656,0.01941494672340071,0.026641969183796226,0.033918352533625046,0.0023540430699710174,0.020779141539177003,0.031045329358934306,0.010590527592026366,0.009404569111181194,0.03336446998921385,0.035368565675531184,0.0059965128776199444,0.016471709484743934,0.011976066465623667,0.0071410991065798774,0.0607841519734485,0.018185955729017506,0.02625713424289947,0.022827418453992773,0.005678415076720384,0.015278084183713101,0.03943595629995813,0.006676629997659209,0.024007316398630994,0.028677869174566103,0.017682397000237594,0.012387562968147815,0.04067389937412119,0.038759378659504386,0.013454039216407492,0.00719454104093746,0.020586954893715526,0.0034773125547615607,0.015085177762162474,0.008603770176895438,0.008761539708590792
Florida,0.03203201298506599,0.022558116651306533,0.044460603015329336,0.012137326824195504,0.015389537890809293,0.024950986948614303,0.025180097580273415,0.026881009400612575,0.038003887596383665,0.008297254660527147,0.020657753867849425,0.013993673077929852,0.016514931903205684,0.01941494672340073,0.02664196918379626,0.03391835253362508,0.002354043069971021,0.020779141539177034,0.03104532935893435,0.010590527592026382,0.009404569111181208,0.03336446998921389,0.035368565675531226,0.005996512877619953,0.01647170948474396,0.01197606646562368,0.007141099106579884,0.06078415197344858,0.01818595572901753,0.02625713424289951,0.02282741845399279,0.0056784150767203905,0.01527808418371312,0.039435956299958164,0.006676629997659215,0.02400731639863103,0.028677869174566148,0.017682397000237614,0.01238756296814783,0.04067389937412123,0.03875937865950444,0.013454039216407511,0.007194541040937468,0.02058695489371555,0.003477312554761565,0.015085177762162488,0.00860377017689545,0.008761539708590803
Georgia,0.03203201298506599,0.022558116651306533,0.044460603015329336,0.012137326824195504,0.015389537890809293,0.024950986948614303,0.02518009758027341,0.026881009400612575,0.038003887596383665,0.008297254660527147,0.020657753867849425,0.013993673077929848,0.016514931903205684,0.01941494672340073,0.026641969183796268,0.03391835253362509,0.002354043069971021,0.02077914153917703,0.031045329358934348,0.010590527592026385,0.009404569111181208,0.033364469989213885,0.03536856567553123,0.005996512877619953,0.01647170948474396,0.011976066465623682,0.007141099106579884,0.06078415197344857,0.01818595572901753,0.02625713424289951,0.022827418453992793,0.0056784150767203905,0.015278084183713122,0.039435956299958164,0.0066766299976592156,0.024007316398631035,0.028677869174566148,0.017682397000237614,0.01238756296814783,0.04067389937412123,0.038759378659504434,0.013454039216407507,0.0071945410409374674,0.020586954893715554,0.003477312554761565,0.015085177762162491,0.00860377017689545,0.008761539708590805
Idaho,0.032032012985065986,0.022558116651306522,0.0444606030153293,0.0121373268241955,0.015389537890809284,0.02495098694861429,0.025180097580273408,0.02688100940061256,0.03800388759638365,0.008297254660527144,0.020657753867849418,0.013993673077929841,0.01651493190320567,0.019414946723400724,0.02664196918379625,0.033918352533625074,0.0023540430699710195,0.02077914153917702,0.031045329358934334,0.010590527592026378,0.009404569111181206,0.03336446998921388,0.03536856567553121,0.005996512877619951,0.01647170948474395,0.011976066465623676,0.007141099106579883,0.06078415197344856,0.01818595572901752,0.026257134242899497,0.022827418453992783,0.005678415076720389,0.015278084183713115,0.03943595629995815,0.006676629997659213,0.02400731639863102,0.028677869174566138,0.017682397000237608,0.01238756296814782,0.04067389937412122,0.03875937865950441,0.013454039216407506,0.007194541040937465,0.020586954893715547,0.0034773125547615624,0.015085177762162484,0.008603770176895445,0.008761539708590801
