,Alabama,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Alabama,0.14968740199547748,0.0,0.0,0.0,0.0,0.0,0.0,0.1647015653253517,0.3762338425223776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18488031852002706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12449687163676615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arizona,0.0,0.5109037163740414,0.0,0.2779486245877497,0.037754527113327406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04900590813074053,0.0,0.0,0.06940575798206913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054981465812071764,0.0,0.0,0.0,0.0,0.0,0.0
Arkansas,0.0,0.0,0.15100143611979494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15800539151981477,0.0,0.0,0.0,0.0,0.0,0.1791521800367109,0.04673428556722211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18158630360742617,0.0,0.0,0.0,0.0,0.0,0.1206395907364318,0.16288081241259936,0.0,0.0,0.0,0.0,0.0,0.0,0.0
California,0.0,0.5877802516029211,0.0,0.31977201820404333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05637990894947392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036067821243561636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Colorado,0.0,0.28052840458257444,0.0,0.0,0.02073035861245776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1438668045405446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04164286811652928,0.0,0.0,0.0,0.038109502694045,0.0,0.0,0.0,0.0,0.4305992843612988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030189373049265073,0.0,0.0,0.0,0.0,0.0,0.014333404043285123
Connecticut,0.0,0.0,0.0,0.0,0.0,0.2708596180354026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22284384025553222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25508881418572793,0.0,0.0,0.0,0.0,0.0,0.0,0.25120772752333725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Delaware,0.0,0.0,0.0,0.0,0.0,0.0,0.33544779843853045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2567864035944027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1891704924276069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21859530553946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Florida,0.21674262688986665,0.0,0.0,0.0,0.0,0.0,0.0,0.23848266083586808,0.5447747122742652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Georgia,0.10647035165865239,0.0,0.0,0.0,0.0,0.0,0.0,0.11714969559997117,0.26760935780322953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27071402181318427,0.0,0.0,0.0,0.0,0.0,0.0,0.14950385908982236,0.0,0.08855271403514023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10225877988488274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09979981064872248,0.0,0.17612059342328018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11266932138172847,0.0,0.0,0.0,0.0,0.0,0.0,0.19759593802996311,0.0,0.0,0.2177403451504302,0.0,0.0,0.09381521148099288
